|identifier|SpT|configuration|Instrument|Date|Temperature|Velocity|vsini_sec|[Fe/H]|significance|Comments|Rank|Keck|VLT|Gemini|Imaging_Detecton|addmode|parsed_date|Tmeas|Tmeas_err
10|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|HET|20130812.0|5600.0|6.985|30.0|-0.5|29.0558297554|Confirmed|1.0|n|Y|n||simple|2013-08-12|5600.04766806|215.998030575
11|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|IGRINS|20150806.0|6000.0|2.853|30.0|0.0|8.79686842802|Confirmed. Not detected with addmode=ml, and only marginally with simple|1.0|n|Y|n||simple|2015-08-06|6000.00818018|216.001275377
17|HIP 3478|B5V|  B5V|TS23|20140112.0|5800.0|-46.17|5.0|-0.5|31.0993615098|Very nice looking peak. Tens of sigma. This exists, damnit!|7.0|n|n|n||simple|2014-01-12|5799.80274502|215.990024802
30|HIP 5310|A3V|  (A3V + ?; ?)|IGRINS|20141014.0|3400.0|4.825|30.0|0.0|13.2448712865|Needs follow-up|3.0|Y|n|Y||simple|2014-10-14|3399.87177049|215.846391367
43|HR 545|B9.5IV|B9V|IGRINS|20141014.0|4500.0|-34.854|5.0|-0.5|36.9965334882|Confirmed|1.0|Y|n|n||simple|2014-10-14|4499.70631983|215.693513133
44|HR 545|B9.5IV|B9V|TS23|20131021.0|4500.0|33.832|5.0|-0.5|30.4123361894|This is way too low T to be the G2|1.0|Y|n|n||simple|2013-10-21|4499.89669508|215.898235434
45|HR 545|B9.5IV|B9V|TS23|20140111.0|4500.0|6.673|5.0|0.0|46.2865402376|RV change!|1.0|Y|n|n||simple|2014-01-11|4500.0086977|215.814406862
48|HR 604|B8V+A0V|"(2.33K3IIb + 5.02(5.5(B7V + B9V; 2.67d) + 6.2A0V; 63.67y e=.93); 9.580"")"|TS23|20131020.0|5000.0|-4.805|5.0|0.5|15.0383602379|Probably light from the K3|1.0|n|n|n||simple|2013-10-20|5000.07068746|215.987688991
51|HIP 10732|A1Vn|  A1Vn|IGRINS|20141014.0|5500.0|-5.673|5.0|0.0|17.4437540101|Confirmed. Best [Fe/H] actually -0.5, but 0.0 is good too. Temperature changes!|1.0|Y|n|n||simple|2014-10-14|5499.89479771|215.973880085
52|HIP 10732|A1Vn|  A1Vn|IGRINS|20150301.0|5700.0|-5.036|10.0|0.0|11.8514412144|Confirmed. Best [Fe/H] actually -0.5, but 0.0 is good too. Temperature changes!|1.0|Y|n|n||simple|2015-03-01|5699.94163572|215.986187975
54|HIP 12332|A7V|  A7V|IGRINS|20141016.0|5600.0|-7.581|10.0|0.0|22.7767623776|Confirmed|1.0|n|n|n||simple|2014-10-16|5600.12274096|215.993204038
55|HIP 12332|A7V|  A7V|TS23|20140120.0|5800.0|-35.745|5.0|0.5|38.4638083554|Confirmed|1.0|n|n|n||simple|2014-01-20|5800.22609406|215.943751887
56|HIP 12706|A2Vn+F4V|"  ((3.56A3V + 6.63F3V; 2.600"") + 10.16K5; 840"")"|IGRINS|20141015.0|6100.0|-11.926|10.0|0.0|38.0838897082|Confirmed|1.0|n|n|n||simple|2014-10-15|6099.93236602|215.960716533
57|HIP 12706|A2Vn+F4V|"  ((3.56A3V + 6.63F3V; 2.600"") + 10.16K5; 840"")"|TS23|20131019.0|6300.0|-4.934|10.0|0.0|77.1713592692|This seems to be the F3.|1.0|n|n|n||simple|2013-10-19|6299.97853607|215.867864977
62|HIP 13165|B6V|"  ((5.30(B6V + ?; 3.854d  e=.04) + 8.46A0Vp; 3.280"") + 11.0F8V; 25.2"")"|HET|20130814.0|5900.0|-82.729|5.0|-0.5|24.7101791699|Consistent velocity with ~4 day orbit|1.0|Y|n|n||simple|2013-08-14|5899.94607659|216.001899375
65|HIP 13327|B7V|  B7V|TS23|20140113.0|5800.0|-55.233|5.0|-0.5|7.88962726365|Needs follow-up. Also has a detection at 4100 K, same RV. Slightly weaker and higher vsini. None of this is true with addmode=ml. Check addmode=simple, and maybe without caching?|2.0|n|n|n||simple|2014-01-13|5799.99088681|216.020664357
74|HIP 14576|B8V|  ((6.0G8IV + 2.2B8V; 2.87d  SD) + 4.72F1; 1.86y, e=0.23)|TS23|20131017.0|7200.0|45.426|10.0|0.0|88.3188991511|F1 detected|1.0|Y|n|Y||simple|2013-10-17|7125.04758913|221.66690461
75|HIP 14576|B8V|  ((6.0G8IV + 2.2B8V; 2.87d  SD) + 4.72F1; 1.86y, e=0.23)|TS23|20131018.0|7400.0|44.928|10.0|0.0|94.8215431367|Is the rv change significant?|1.0|Y|n|Y||simple|2013-10-18|7399.96856409|199.978553529
76|HIP 14764|B8V|  B8V|IGRINS|20141015.0|5600.0|122.258|30.0|0.5|5.85434836591|Confirmed, but the parameters are pretty crazy except for the temperature|1.0|n|n|n||simple|2014-10-15|5600.01059871|216.007985473
77|HIP 14764|B8V|  B8V|TS23|20140122.0|5900.0|-57.622|5.0|-0.5|25.3308551646|Confirmed|1.0|n|n|n||simple|2014-01-22|5899.90809747|215.970927094
87|HIP 16244|B3V|"  (4.76B3V + 7.18; .720"")"|IGRINS|20141014.0|6200.0|-15.351|5.0|-0.5|13.7823116554|Confirmed. Temperature is very different for the two instruments...|1.0|n|n|n||simple|2014-10-14|6199.92871925|216.002189083
88|HIP 16244|B3V|"  (4.76B3V + 7.18; .720"")"|TS23|20131018.0|5300.0|33.919|5.0|-0.5|26.4429376465|New temperature for known companion. MagDiff seems too small though?|1.0|n|n|n||simple|2013-10-18|5300.0032766|215.984242113
92|HIP 16340|B8V|  B8V|TS23|20140121.0|6500.0|-23.4|5.0|-0.5|11.0549036592|Needs follow-up|2.0|n|n|n||simple|2014-01-21|6499.8927153|215.997819748
96|HIP 16611|B9V|  (B8V + B8V; 6.224d  e=.20)|IGRINS|20141015.0|5500.0|111.679|1.0|0.5|6.10127783209|Needs follow-up. Weak peak.|3.0|Y|n|n||simple|2014-10-15|5500.03066574|216.002545723
101|HIP 17563|B3V|  (B3V + ?; 1.694d  e=.40)|CHIRON|20130902.0|8600.0|-104.788|5.0|0.5|6.42157576705|Needs follow-up, but unlikely. Very weak peak|7.0|n|Y|n||simple|2013-09-02|8599.98517423|199.976421052
104|HIP 18396|B6V|  B6V|HET|20130812.0|4700.0|363.021|30.0|-0.5|8.9927152251|Signal seen with ml addmode... but not simple|9.0|||||ml|2013-08-12|4700.0032446|215.988859151
105|HIP 18724|B3V+...|  ((A4IV + B3V; 3.953d  SD) + ?; 33.03d, e=0.15)|TS23|20130107.0|7200.0|182.2|20.0|0.0|10.5157107408|There is a signal in the CCF, but weird looking… I think it is the A4IV. Both CCF peaks easily visible in primary ccfs, but companion has teff~9000K there...|2.0|n|n|n||simple|2013-01-07|7125.06563611|221.737200228
109|HIP 19949|A2Vn|  A2Vn|IGRINS|20141014.0|6500.0|-18.91|20.0|-0.5|19.8112699729|Nice looking detection, but not seen in March. CHECK GUIDER IMAGES!|9.0|n|n|n||simple|2014-10-14|6499.88720367|216.000143245
114|HIP 20380|A3V|  A3V|IGRINS|20141014.0|6300.0|-21.074|20.0|-0.5|30.5492359477|Confirmed|1.0|n|n|n||simple|2014-10-14|6300.09762417|215.981950221
115|HIP 20380|A3V|  A3V|IGRINS|20150302.0|6700.0|11.97|20.0|0.0|7.91149417999|Confirmed. Not detected with addmode=ml.|1.0|n|n|n||simple|2015-03-02|6700.02534892|216.009274843
122|HIP 21589|A6V|A6V|IGRINS|20141017.0|4600.0|21.77|5.0|0.0|23.889650078|Confirmed|3.0|n|n|n||simple|2014-10-17|4600.27992292|215.77180136
132|HIP 22833|A3V|"  (A3V + ?; .21"")"|IGRINS|20141015.0|5100.0|8.626|10.0|0.0|20.5127262815|Confirmed|1.0|n|n|Y||simple|2014-10-15|5099.81400821|216.032767533
133|HIP 22833|A3V|"  (A3V + ?; .21"")"|TS23|20140122.0|4700.0|-12.222|5.0|-0.5|41.8943334182|Confirmed|1.0|n|n|Y||simple|2014-01-22|4700.550246|215.806379836
136|HIP 22958|B6V|"  (5.49B6V + 9.64; .650"")"|CHIRON|20130915.0|5900.0|42.84|30.0|-0.5|12.4884450042|Confirmed. Dominated by primary in addmode=ml.|1.0|n|n|n||simple|2013-09-15|5899.99198443|216.00667504
137|HIP 22958|B6V|"  (5.49B6V + 9.64; .650"")"|CHIRON|20141012.0|6600.0|26.678|30.0|-0.5|8.43763853906|Confirmed. Dominated by primary in addmode=ml. Big temperature change here...|1.0|n|n|n||simple|2014-10-12|6599.99456521|216.011699031
138|HIP 23362|B9V|  B9.5Vn|CHIRON|20130912.0|6400.0|18.938|5.0|-0.5|7.64806197799|Needs follow-up. Nothing in addmode=ml|4.0|n|Y|n||simple|2013-09-12|6399.99634022|216.014882842
141|HIP 23916|B8III|  B8V|CHIRON|20130919.0|5600.0|-25.546|5.0|-0.5|21.2233135979|Check for RV shift. Need follow-up|3.0|n|n|Y||simple|2013-09-19|5600.02269321|215.996911902
143|HIP 24244|B7.5Vn|"  ((B8V + K7.2XR?; .37"") + 10.8G8Ve; 12.7"")"|CHIRON|20130918.0|5100.0|23.367|5.0|-0.5|11.3871632881|Needs follow-up. Very weak peak. Nothing in addmode=ml.|5.0|n|Y|n||simple|2013-09-18|5100.03040948|215.948459349
147|HIP 24902|A3V|"  (5.58A3V + 8.55; .380"")"|IGRINS|20141015.0|5700.0|16.547|30.0|0.0|10.8743655714|Known companion.|1.0|n|n|n||simple|2014-10-15|5699.64387898|215.95505648
151|HIP 25143|A3V|  A3V|IGRINS|20141015.0|5800.0|138.048|30.0|0.0|7.23098242897|Nothing seen with addmode=ml. |1.0|n|n|n||simple|2014-10-15|5799.92931403|215.962840892
152|HIP 25143|A3V|  A3V|IGRINS|20150302.0|6000.0|119.369|30.0|0.5|4.73476825887|Exceedingly weak peak, but it agrees with the other one...|1.0|n|n|n||simple|2015-03-02|5999.95783376|215.987702958
166|HIP 26126|A2V|  A2V|CHIRON|20140304.0|5800.0|17.923|5.0|-0.5|72.6937227935||1.0|n|Y|Y||simple|2014-03-04|5800.18907516|215.921246887
167|HIP 26126|A2V|  A2V|CHIRON|20141017.0|5700.0|68.203|5.0|-0.5|68.444146609|RV change!|1.0|n|Y|Y||simple|2014-10-17|5700.22316003|215.973068424
168|HIP 26126|A2V|  A2V|IGRINS|20141015.0|6300.0|61.009|5.0|0.0|24.8940628126|Confirmed|1.0|n|Y|Y||simple|2014-10-15|6300.03742487|215.994713534
196|HIP 32607|A8VnkA6|  (A7IV + ?; ?)|CHIRON|20140307.0|5200.0|19.83|5.0|-0.5|48.9772035262|New temperature for known companion. |1.0|n|Y|n||simple|2014-03-07|5199.93190472|215.804958775
197|HIP 32607|A8VnkA6|  (A7IV + ?; ?)|CHIRON|20150114.0|5200.0|2.357|5.0|-0.5|44.9033048995|New temperature for known companion. |1.0|n|Y|n||simple|2015-01-14|5200.58557417|215.883287347
198|HIP 32607|A8VnkA6|  (A7IV + ?; ?)|CHIRON|20150116.0|5300.0|2.478|5.0|-0.5|44.358618393|New temperature for known companion. |1.0|n|Y|n||simple|2015-01-16|5300.26958026|215.914002237
221|HIP 38538|A5IV|  (A3V + ?; 1.593y)|TS23|20140112.0|6900.0|-0.3|30.0|-0.5|13.649653486|There is a weird-looking peak, and a companion is detected in 2015ApJS..217...29B . |1.0|n|n|n||simple|2014-01-12|6866.62789457|215.973612043
222|HIP 38593|B2V|  B2V|CHIRON|20131026.0|5600.0|16.441|5.0|-0.5|43.289561713|Confirmed. Try for RV change|2.0|n|n|n||simple|2013-10-26|5600.00176203|215.97601907
223|HIP 38593|B2V|  B2V|CHIRON|20131102.0|5500.0|16.634|5.0|-0.5|38.7767933742||2.0|n|n|n||simple|2013-11-02|5500.22521388|215.967537784
225|HIP 38846|B2.5V|  (B2.5V + ?; ?)|CHIRON|20131104.0|6700.0|35.121|10.0|0.0|17.9921332306|Known companion? Try for follow-up|2.0|n|n|n||simple|2013-11-04|6699.953213|215.993211453
232|HIP 39847|A2V|  A2V|IGRINS|20150302.0|5800.0|18.561|10.0|-0.5|31.6630494741|Confirmed|1.0|n|n|Y||simple|2015-03-02|5799.60648495|215.988190181
233|HIP 39847|A2V|  A2V|TS23|20140119.0|6000.0|-34.736|10.0|0.0|53.8398413847|Confirmed|1.0|n|n|Y||simple|2014-01-19|5999.93374582|215.909720913
237|HIP 40881|B9.5V|  B9.5V|IGRINS|20141016.0|4600.0|30.152|10.0|-0.5|8.71381900118|Needs follow-up. Nothing in addmode=ml|2.0|n|n|n||simple|2014-10-16|4600.17870069|215.953556865
243|HIP 42129|B3V+...|"  (5.25B3V + 8.90; .630"")"|CHIRON|20131106.0|5400.0|60.033|10.0|-0.5|20.9338199235|New temperature for known companion. |1.0|n|Y|n||simple|2013-11-06|5400.04417852|215.999601194
265|HIP 51362|B9.5V|  B9.5V|CHIRON|20131128.0|5200.0|29.405|5.0|-0.5|22.8643468104|Very convincing peak. WTF?|9.0|n|Y|Y||simple|2013-11-28|5200.05910713|215.951674084
273|HIP 52678|B6Vnn|  B6V|CHIRON|20140201.0|5300.0|15.833|10.0|-0.5|4.67731185243|Very weak peak, but at a similar temperature to the other observation|1.0|n|n|n||simple|2014-02-01|5300.10377038|215.990041692
274|HIP 52678|B6Vnn|  B6V|CHIRON|20140331.0|5100.0|18.952|10.0|-0.5|8.13901188889|Confirmed? |1.0|n|n|n||simple|2014-03-31|5100.01359221|216.015675541
280|HIP 55266|A2V|"  (4.80(5.4(A1V + A2V; 2.554d  e=.34) + 5.7A1V; 5.127y, e=.13) + 7.2F2V; 499"")"|TS23|20130107.0|8800.0|57.775|30.0|-0.5|61.7362438896|One of the known companions. Both this and the primary are visible in the primary ccfs, though pretty blended.|1.0|Y|n|Y||simple|2013-01-07|8700.03354508|141.421356237
308|HIP 63945|B5V|"  ((B5V + 10; 1.55"") + 11.5K0Ve; 11.4"")"|CHIRON|20130319.0|7200.0|11.041|10.0|-0.5|7.38983779471|Needs follow-up. Nothing seen in addmode=ml. Temperature is very uncertain. It could be closer to 5300 K!|3.0|n|Y|n||simple|2013-03-19|7125.04066199|221.682970289
336|HIP 72154|B9.5V|  B9.5V|HET|20130421.0|5100.0|-20.994|30.0|-0.5|8.93843592927|Needs follow-up. Nothing in addmode=ml.|3.0|n|Y|n||simple|2013-04-21|5100.04090174|216.00735423
348|HIP 76267|A1IV|  (B9.5IV + G2V; 17.36d  e=.37)|CHIRON|20130328.0|5600.0|75.876|5.0|-0.5|62.3226751275|New temperature for known companion. |1.0|Y|Y|n||simple|2013-03-28|5599.86042112|215.957756302
352|HIP 77336|A3V|  (A3V + ?; ?)|HET|20130414.0|6300.0|-33.403|20.0|0.0|55.9243589747|Probably the unknown companion?|1.0|n|Y|n||simple|2013-04-14|6300.03981205|215.949312809
353|HIP 77336|A3V|  (A3V + ?; ?)|IGRINS|20150409.0|6600.0|-37.211|20.0|0.0|35.7059767983|Confirmed|1.0|n|Y|n||simple|2015-04-09|6599.91821581|215.998787294
354|HIP 77516|A0V|3.75A0V + 5.39;0.2”|CHIRON|20130328.0|7000.0|-5.113|5.0|0.5|53.8227076598|This might just be the primary star. It is a very slow rotator (revealed in primary ccfs)|1.0|n|n|n||simple|2013-03-28|6920.36883346|192.374721934
361|HIP 78820|B1V|"  (2.59((B0.5V + B; 6.828d  e=.29) + 5.9; .5"") + 4.92(B2V + ?; .13""); 13.660"")"|CHIRON|20130328.0|5800.0|24.733|5.0|-0.5|14.3221903692|Good looking detection, but seems too low temperature...|9.0|n|n|n||simple|2013-03-28|5799.81174789|216.009253804
365|HIP 78821|B2V|"  (2.59((B0.5V + B; 6.828d  e=.29) + 5.9; .5"") + 4.92(B2V + ?; .13""); 13.660"")"|IGRINS|20150426.0|5000.0|-89.737|10.0|-0.5|6.68460325511|Needs follow-up. Nothing in addmode=ml|5.0|n|n|n||simple|2015-04-26|5000.04223877|215.995861878
371|HIP 79199|B8V|"  ((B8V + 10; 1.12"") + 13; 3.06"")"|CHIRON|20140317.0|4800.0|-1.411|5.0|-0.5|21.2327380135|New temperature for known companion. |1.0|n|Y|n||simple|2014-03-17|4800.04039469|215.962159033
374|HIP 79404|B2V|  (B2V + ?; 5.780d  e=.19)|CHIRON|20130502.0|5100.0|151.757|10.0|-0.5|25.2703464996|Great looking detection|1.0|n|Y|Y||simple|2013-05-02|5099.98323782|215.96132333
376|HIP 79404|B2V|  (B2V + ?; 5.780d  e=.19)|CHIRON|20150308.0|4800.0|132.628|10.0|-0.5|19.3978119327|Confirmed|1.0|n|Y|Y||simple|2015-03-08|4800.18928608|215.930254239
378|HIP 80460|A5V|"  (A5V + ?; .13"")"|IGRINS|20150409.0|6400.0|5.104|10.0|0.0|34.0055004457|Known companion.|1.0|n|n|n||simple|2015-04-09|6399.99182763|215.95954799
389|HIP 82673|B8V|  B8V|CHIRON|20130427.0|4900.0|-20.273|5.0|0.5|12.3702047199|Detected in AO imaging! |1.0|Y|n|n||simple|2013-04-27|4899.92604286|216.002821463
390|HIP 82673|B8V|  B8V|CHIRON|20140801.0|4800.0|-19.911|5.0|0.5|15.4805942937|Detected in AO imaging! |1.0|Y|n|n||simple|2014-08-01|4800.13758407|215.998113618
392|HIP 84606|A2V|"  (4.66A2V + 8.68; .840"")"|IGRINS|20141014.0|5500.0|-23.67|10.0|-0.5|45.1905879269|New temperature for known companion. |1.0|n|n|n||simple|2014-10-14|5499.97158891|215.959113042
394|HIP 85379|A4V|  A4V|HET|20130416.0|7600.0|152.764|20.0|0.0|24.2422481333|Needs follow-up. Nothing in addmode=ml. Might just be the primary star|2.0|n|n|n||simple|2013-04-16|7599.97390793|199.992833186
406|HIP 85998|A2V|"  (A2V + 7.8A8IV; 41.2"")"|HET|20130425.0|5600.0|-13.988|1.0|-0.5|65.9798714719|Probably just the primary. It is very low vsini|2.0|n|n|n||simple|2013-04-25|5600.00312628|215.940330029
407|HIP 85998|A2V|"  (A2V + 7.8A8IV; 41.2"")"|CHIRON|20150225.0|5600.0|-14.942|5.0|0.0|52.6480237999|Probably just the primary. It is very low vsini|2.0|n|n|n||simple|2015-02-25|5600.23785605|215.975964823
409|HIP 85998|A2V|"  (A2V + 7.8A8IV; 41.2"")"|IGRINS|20150727.0|5500.0|-14.734|5.0|-0.5|25.3071915217||2.0|n|n|n||simple|2015-07-27|5499.92616096|215.988472238
414|HIP 88116|A0|  (B9V + ?; ?)|CHIRON|20130714.0|5200.0|-31.903|5.0|0.0|29.3982520533|How did the RV change this much, but it was detected in NIRI?|1.0|n|n|Y||simple|2013-07-14|5200.07128548|215.932535186
415|HIP 88116|A0|  (B9V + ?; ?)|CHIRON|20140806.0|5700.0|-1.187|5.0|0.0|23.0135808568|Confirmed|1.0|n|n|Y||simple|2014-08-06|5699.94374405|216.012531026
417|HIP 88818|A3V|"  (5.84(A3V + ?; 15.83y  e=.94) + 5.95A3V; 14.250"")"|HET|20130415.0|5500.0|-14.088|20.0|-0.5|51.8649729226|15 year companion? Can it move that fast?|1.0|n|n|n||simple|2013-04-15|5499.92969391|215.92844603
418|HIP 88818|A3V|"  (5.84(A3V + ?; 15.83y  e=.94) + 5.95A3V; 14.250"")"|IGRINS|20150409.0|5400.0|-14.743|30.0|-0.5|25.7965371749|Confirmed. Best [Fe/H] actually -0.5, but 0.0 is good too. Temperature changes!|1.0|n|n|n||simple|2015-04-09|5399.87985457|215.991142409
419|HIP 88818|A3V|"  (5.84(A3V + ?; 15.83y  e=.94) + 5.95A3V; 14.250"")"|IGRINS|20150727.0|5200.0|-14.113|30.0|-0.5|27.5522461352|Confirmed|1.0|n|n|n||simple|2015-07-27|5200.18905785|215.831620239
421|HIP 88817|A3V|"  (5.84(A3V + ?; 15.83y  e=.94) + 5.95A3V; 14.250"")"|IGRINS|20150409.0|3700.0|-26.628|20.0|0.0|13.5293219886|Needs follow-up|3.0|n|n|n||simple|2015-04-09|3699.85219917|215.855960336
429|HIP 91118|A0Vn|"  (A0Vn + ?; .15"")"|IGRINS|20141014.0|6500.0|-22.041|10.0|-0.5|32.4513306852|Really flat CCF vs. Temperature. Uncertain measurement!|1.0|n|n|n||simple|2014-10-14|6500.02294232|215.992895
446|HIP 93805|B9Vn|  B9Vn|IGRINS|20140714.0|4000.0|-63.842|5.0|-0.5|14.671739365|Confirmed|1.0|n|Y|Y||simple|2014-07-14|4000.0599082|215.812473914
447|HIP 93805|B9Vn|  B9Vn|IGRINS|20150426.0|4200.0|-51.112|10.0|-0.5|20.1486888484|Confirmed|1.0|n|Y|Y||simple|2015-04-26|4200.28426341|215.887603785
472|HIP 100221|B9V|  (B9V + ?; 5.298d  e=.04)|IGRINS|20150727.0|5300.0|1.678|20.0|-0.5|26.3987422826|Confirmed? This one looks nice and the other one just looks... weird|2.0|n|n|n||simple|2015-07-27|5299.83651741|215.929516026
474|HIP 100907|A3V|  (A3V + ?; ?)|IGRINS|20141015.0|5400.0|4.012|10.0|0.0|29.6573071615|New temperature for known companion. |1.0|n|n|n||simple|2014-10-15|5399.84172905|215.9793195
475|HIP 100907|A3V|  (A3V + ?; ?)|IGRINS|20150727.0|5100.0|3.793|10.0|-0.5|35.1041095486|Confirmed|1.0|n|n|n||simple|2015-07-27|5100.07458758|215.873866967
485|HIP 103298|A5V|  A4V|CHIRON|20150512.0|4700.0|9.146|5.0|-0.5|50.0252321492|Confirmed|1.0|n|n|Y||simple|2015-05-12|4699.9891251|215.776352646
486|HIP 103298|A5V|  A4V|IGRINS|20141015.0|4700.0|9.413|5.0|-0.5|37.9860148408|Confirmed|1.0|n|n|Y||simple|2014-10-15|4700.62903215|215.681532994
487|HIP 103298|A5V|  A4V|IGRINS|20150727.0|4700.0|9.153|5.0|-0.5|40.0085506129|Confirmed|1.0|n|n|Y||simple|2015-07-27|4700.66374346|215.590954182
512|HIP 109139|B8V|  B9IV-V|CHIRON|20130603.0|6000.0|31.359|20.0|-0.5|58.085930225||1.0|n|Y|Y||simple|2013-06-03|6000.16014237|215.958998325
513|HIP 109139|B8V|  B9IV-V|CHIRON|20130819.0|5700.0|-16.57|10.0|0.0|56.7779016358|Confirmed|1.0|n|Y|Y||simple|2013-08-19|5700.63930935|215.943563345
514|HIP 109521|A5V|"  ((A5V + ?; ?) + 9.5K0; 73.7"")"|IGRINS|20141014.0|4600.0|-5.091|10.0|0.0|38.098967978|Confirmed|1.0|n|n|Y|Observed with sphere, still under proprietary period.|simple|2014-10-14|4599.91202685|215.69781047
515|HIP 109521|A5V|"  ((A5V + ?; ?) + 9.5K0; 73.7"")"|TS23|20131021.0|4600.0|-11.703|10.0|0.0|31.9267903119|Only believable because of the other epochs...|1.0|n|n|Y||simple|2013-10-21|4600.23290489|215.768614379
516|HIP 109521|A5V|"  ((A5V + ?; ?) + 9.5K0; 73.7"")"|TS23|20141101.0|4600.0|-12.848|10.0|0.0|26.4894015682|RV change!|1.0|n|n|Y||simple|2014-11-01|4599.98553271|215.729577621
535|HIP 115115|A0V|"  (A0V + 11.2; 1.5"")"|CHIRON|20140519.0|5200.0|3.833|5.0|-0.5|55.6058659521|Might be the known companion. Confirmed|1.0|n|n|n||simple|2014-05-19|5199.55739985|215.930979654
536|HIP 115115|A0V|"  (A0V + 11.2; 1.5"")"|CHIRON|20150520.0|4900.0|2.533|5.0|-0.5|37.6326775999|Confirmed|1.0|n|n|n||simple|2015-05-20|4900.11991651|215.89786817
537|HIP 115115|A0V|"  (A0V + 11.2; 1.5"")"|IGRINS|20150727.0|5100.0|-43.226|10.0|0.0|25.4161352456|Confirmed|1.0|n|n|n||simple|2015-07-27|5099.90842218|215.999515135
