teff,vsini,addmode,rms
7000,50,dc,0.121512777117
7000,50,ml,0.104815082699
7000,50,simple,0.126203654553
7000,75,dc,0.184405851938
7000,75,ml,0.152206174307
7000,75,simple,0.197744547693
7000,100,dc,0.34076721756
7000,100,ml,0.223793023845
7000,100,simple,0.360421047526
7000,125,dc,0.452270365378
7000,125,ml,0.210541870766
7000,125,simple,0.472637390454
7000,150,dc,0.356814028483
7000,150,ml,0.597935393691
7000,150,simple,0.378433507165
7000,175,dc,0.499163531552
7000,175,ml,0.973715900009
7000,175,simple,0.503165823077
7000,200,dc,0.831287762691
7000,200,ml,1.5213953512
7000,200,simple,0.743323072893
7000,225,dc,1.69214150602
7000,225,ml,1.67687013508
7000,225,simple,1.8543634329
7000,250,dc,2.97556996507
7000,250,ml,2.15313981475
7000,250,simple,3.2031875918
7000,275,dc,3.27600680727
7000,275,ml,1.99455316004
7000,275,simple,3.22651369831
7000,300,dc,4.94144750526
7000,300,ml,2.3303469734
7000,300,simple,5.63873806802
8000,50,dc,0.285280542447
8000,50,ml,0.29887213552
8000,50,simple,0.335763980378
8000,75,dc,0.639115035332
8000,75,ml,0.588300123937
8000,75,simple,0.740778518078
8000,100,dc,1.0313369656
8000,100,ml,0.661355550272
8000,100,simple,1.20756537545
8000,125,dc,1.33940522051
8000,125,ml,1.16788248588
8000,125,simple,1.70016247405
8000,150,dc,0.567230918426
8000,150,ml,1.73911958121
8000,150,simple,0.940059062264
8000,175,dc,1.82029482892
8000,175,ml,1.9698082939
8000,175,simple,2.57051785886
8000,200,dc,1.59768974737
8000,200,ml,2.21026377686
8000,200,simple,2.737955167
8000,225,dc,1.80767986653
8000,225,ml,2.2616694815
8000,225,simple,3.29127050899
8000,250,dc,1.22328491852
8000,250,ml,2.56279395789
8000,250,simple,2.88983523661
8000,275,dc,1.99331815698
8000,275,ml,3.23373801676
8000,275,simple,1.77737590467
8000,300,dc,2.78143828801
8000,300,ml,3.45249213917
8000,300,simple,5.49055532027
9000,50,dc,0.647033675207
9000,50,ml,0.685979683274
9000,50,simple,0.793179774671
9000,75,dc,1.22957077993
9000,75,ml,0.974874866429
9000,75,simple,1.40687362586
9000,100,dc,1.8153357782
9000,100,ml,1.33758857469
9000,100,simple,2.60600969616
9000,125,dc,2.56208120952
9000,125,ml,1.50640486414
9000,125,simple,3.81632011769
9000,150,dc,3.20116746959
9000,150,ml,1.84981773178
9000,150,simple,5.42075348189
9000,175,dc,3.35281511269
9000,175,ml,2.44934834964
9000,175,simple,7.10925956361
9000,200,dc,3.9500874581
9000,200,ml,2.52378363647
9000,200,simple,9.20549995425
9000,225,dc,4.55921499392
9000,225,ml,2.62458923563
9000,225,simple,11.2093666147
9000,250,dc,5.88907071834
9000,250,ml,2.82215794688
9000,250,simple,13.7652844068
9000,275,dc,4.24790410795
9000,275,ml,3.26158390344
9000,275,simple,13.8972401002
9000,300,dc,4.13259621108
9000,300,ml,4.2336176838
9000,300,simple,8.2706510576
10000,50,dc,1.19448580942
10000,50,ml,1.19050212125
10000,50,simple,1.47207307625
10000,75,dc,2.37338540719
10000,75,ml,1.49899001272
10000,75,simple,2.96431919648
10000,100,dc,3.00301520212
10000,100,ml,1.50479898591
10000,100,simple,4.01635363462
10000,125,dc,3.96059084858
10000,125,ml,1.77966423414
10000,125,simple,7.01190347458
10000,150,dc,2.46510517415
10000,150,ml,2.45886850245
10000,150,simple,7.19746126356
10000,175,dc,1.67461844781
10000,175,ml,2.71750957387
10000,175,simple,8.36706370582
10000,200,dc,1.59406413072
10000,200,ml,3.20739134397
10000,200,simple,11.5131735499
10000,225,dc,2.69936968693
10000,225,ml,3.32599063759
10000,225,simple,12.9982898796
10000,250,dc,6.87095896383
10000,250,ml,2.9397622479
10000,250,simple,13.4968365154
10000,275,dc,8.26772750789
10000,275,ml,3.10130650894
10000,275,simple,16.831517363
10000,300,dc,3.88183150552
10000,300,ml,4.10843861672
10000,300,simple,12.4678411484
12000,50,dc,2.07044445019
12000,50,ml,1.0585318571
12000,50,simple,2.63800799961
12000,75,dc,2.83012543122
12000,75,ml,1.0929608733
12000,75,simple,3.69582349296
12000,100,dc,3.26530161365
12000,100,ml,1.24124966165
12000,100,simple,3.96042698217
12000,125,dc,3.62361984196
12000,125,ml,1.49632578487
12000,125,simple,4.75542831653
12000,150,dc,2.94223577012
12000,150,ml,1.99999257351
12000,150,simple,4.95926192833
12000,175,dc,2.48732094454
12000,175,ml,2.06816741493
12000,175,simple,4.29372694792
12000,200,dc,4.79922677792
12000,200,ml,1.86897380477
12000,200,simple,6.17854875511
12000,225,dc,4.80873890581
12000,225,ml,2.05374044377
12000,225,simple,6.06070655353
12000,250,dc,3.13524748164
12000,250,ml,2.23866105011
12000,250,simple,4.91420073285
12000,275,dc,3.03937340113
12000,275,ml,2.43483679969
12000,275,simple,4.26916611875
12000,300,dc,3.71734169214
12000,300,ml,2.67482907076
12000,300,simple,5.73926405663
14000,50,dc,1.3424335671
14000,50,ml,0.865124133746
14000,50,simple,1.7978349447
14000,75,dc,1.89140344834
14000,75,ml,0.975432328932
14000,75,simple,2.26883894066
14000,100,dc,1.84123647259
14000,100,ml,1.29816716195
14000,100,simple,2.31132330955
14000,125,dc,1.96451089081
14000,125,ml,1.4247964371
14000,125,simple,2.74124218839
14000,150,dc,2.31378621619
14000,150,ml,1.60771603087
14000,150,simple,3.20347615795
14000,175,dc,1.6963553445
14000,175,ml,1.91804956675
14000,175,simple,2.90888965493
14000,200,dc,2.7211166811
14000,200,ml,1.56545489541
14000,200,simple,3.49213932481
14000,225,dc,2.80308395474
14000,225,ml,1.90723131657
14000,225,simple,3.48205105684
14000,250,dc,1.97426504642
14000,250,ml,2.15832087252
14000,250,simple,2.88349478758
14000,275,dc,4.03301990787
14000,275,ml,2.03579968968
14000,275,simple,5.17629079662
14000,300,dc,4.38874368774
14000,300,ml,2.20605788853
14000,300,simple,5.76735218248
16000,50,dc,0.768195780865
16000,50,ml,0.677353274732
16000,50,simple,1.11358768688
16000,75,dc,1.12519057092
16000,75,ml,0.918261347607
16000,75,simple,1.76143405898
16000,100,dc,1.20647865853
16000,100,ml,1.15406326107
16000,100,simple,1.90583780715
16000,125,dc,1.54742987666
16000,125,ml,1.40471307217
16000,125,simple,2.16095030386
16000,150,dc,1.58072591469
16000,150,ml,1.41626129563
16000,150,simple,2.20287246009
16000,175,dc,1.75921428746
16000,175,ml,1.58363557965
16000,175,simple,2.41016003506
16000,200,dc,2.00955982257
16000,200,ml,1.72007741086
16000,200,simple,2.61096029329
16000,225,dc,2.1431170844
16000,225,ml,1.73611225767
16000,225,simple,2.92693725804
16000,250,dc,2.65114517993
16000,250,ml,1.80825726906
16000,250,simple,3.83579823389
16000,275,dc,2.56171390167
16000,275,ml,1.68031563749
16000,275,simple,3.84205953267
16000,300,dc,3.0008999782
16000,300,ml,1.91675366211
16000,300,simple,4.44986040417
18000,50,dc,0.608612380991
18000,50,ml,0.516781142511
18000,50,simple,0.985687384
18000,75,dc,0.964112279567
18000,75,ml,0.619372575578
18000,75,simple,1.50739211097
18000,100,dc,0.990874298703
18000,100,ml,0.91422974195
18000,100,simple,1.4742261611
18000,125,dc,1.16920560144
18000,125,ml,1.16702670924
18000,125,simple,2.05693771933
18000,150,dc,1.18678360726
18000,150,ml,1.3245994709
18000,150,simple,1.99946148742
18000,175,dc,1.55405376311
18000,175,ml,1.34178663189
18000,175,simple,2.6225746676
18000,200,dc,1.78301180389
18000,200,ml,1.55873683414
18000,200,simple,2.90570236285
18000,225,dc,1.57091869592
18000,225,ml,1.6963157557
18000,225,simple,2.615341379
18000,250,dc,1.7376894645
18000,250,ml,1.59906812258
18000,250,simple,2.74752735816
18000,275,dc,2.16140248855
18000,275,ml,1.72896182066
18000,275,simple,3.41398307579
18000,300,dc,2.23621265253
18000,300,ml,1.78694693913
18000,300,simple,3.67089354706
20000,50,dc,0.647105331341
20000,50,ml,0.393079589616
20000,50,simple,1.29208573068
20000,75,dc,0.778500866896
20000,75,ml,0.518012092045
20000,75,simple,1.5610953306
20000,100,dc,0.817143228921
20000,100,ml,0.776719710968
20000,100,simple,1.83987607873
20000,125,dc,0.856778406411
20000,125,ml,0.965615218726
20000,125,simple,1.57296630433
20000,150,dc,1.15358583853
20000,150,ml,1.10414668115
20000,150,simple,2.1956615355
20000,175,dc,1.30415078027
20000,175,ml,1.16222308895
20000,175,simple,2.17503477675
20000,200,dc,1.33193135288
20000,200,ml,1.28390564152
20000,200,simple,2.2175751059
20000,225,dc,1.67244001678
20000,225,ml,1.39169426538
20000,225,simple,2.94207322034
20000,250,dc,1.91315951464
20000,250,ml,1.29619488329
20000,250,simple,3.55334331936
20000,275,dc,1.86903677505
20000,275,ml,1.49254932801
20000,275,simple,3.71002072963
20000,300,dc,1.90488148622
20000,300,ml,1.69960720524
20000,300,simple,3.72994619623
22000,50,dc,0.56689571639
22000,50,ml,0.30094267727
22000,50,simple,1.27719844098
22000,75,dc,0.627591594672
22000,75,ml,0.495213925385
22000,75,simple,1.35366572168
22000,100,dc,0.686926073357
22000,100,ml,0.643340377798
22000,100,simple,1.62551277995
22000,125,dc,0.885998299395
22000,125,ml,0.701208816177
22000,125,simple,1.80329937447
22000,150,dc,0.883543517528
22000,150,ml,0.981978668921
22000,150,simple,1.75955478212
22000,175,dc,1.10606411945
22000,175,ml,1.068207241
22000,175,simple,2.02444819901
22000,200,dc,1.3504488944
22000,200,ml,1.11956278071
22000,200,simple,2.40484439299
22000,225,dc,1.48717090457
22000,225,ml,1.21632362421
22000,225,simple,2.7140344402
22000,250,dc,1.38792095733
22000,250,ml,1.23014429262
22000,250,simple,2.52619917805
22000,275,dc,1.44016816722
22000,275,ml,1.35852850659
22000,275,simple,2.97214800826
22000,300,dc,1.87746231951
22000,300,ml,1.34150213632
22000,300,simple,3.47395160992
24000,50,dc,0.525647972719
24000,50,ml,0.312437764269
24000,50,simple,1.37177839568
24000,75,dc,0.63034144219
24000,75,ml,0.484011367995
24000,75,simple,1.42757473056
24000,100,dc,0.812518995634
24000,100,ml,0.505051954898
24000,100,simple,1.98907676675
24000,125,dc,0.720234751489
24000,125,ml,0.578500264687
24000,125,simple,1.53331653556
24000,150,dc,0.860168826992
24000,150,ml,0.803534190216
24000,150,simple,1.59867195372
24000,175,dc,1.00558223339
24000,175,ml,0.965648483741
24000,175,simple,2.27290179852
24000,200,dc,1.129214994
24000,200,ml,0.925880914937
24000,200,simple,2.15129073936
24000,225,dc,1.30786070599
24000,225,ml,0.89818216746
24000,225,simple,2.78407453926
24000,250,dc,1.35570988121
24000,250,ml,1.14953040542
24000,250,simple,2.82920159065
24000,275,dc,1.41905022465
24000,275,ml,1.3167225562
24000,275,simple,3.18738006325
24000,300,dc,1.61060662576
24000,300,ml,1.12683985822
24000,300,simple,3.46068951679
26000,50,dc,0.456054913296
26000,50,ml,0.319265496673
26000,50,simple,1.31911621878
26000,75,dc,0.531226468326
26000,75,ml,0.35735047553
26000,75,simple,1.58393219518
26000,100,dc,0.551392089124
26000,100,ml,0.513129446017
26000,100,simple,1.55669556169
26000,125,dc,0.775513192797
26000,125,ml,0.642214998848
26000,125,simple,1.97938783277
26000,150,dc,0.921490889769
26000,150,ml,0.66872940654
26000,150,simple,1.76724845926
26000,175,dc,1.12249346812
26000,175,ml,0.684210347589
26000,175,simple,2.29267793333
26000,200,dc,1.19922072004
26000,200,ml,0.891114285839
26000,200,simple,2.48020499427
26000,225,dc,1.17976573
26000,225,ml,0.915482877053
26000,225,simple,2.56728584786
26000,250,dc,1.46517378453
26000,250,ml,1.03186929359
26000,250,simple,3.59465084735
26000,275,dc,1.45829985924
26000,275,ml,1.23775344795
26000,275,simple,3.13191546172
26000,300,dc,1.26001218282
26000,300,ml,1.19191116998
26000,300,simple,2.63700895684
28000,50,dc,0.420640358653
28000,50,ml,0.320364197397
28000,50,simple,1.4071967292
28000,75,dc,0.585087423706
28000,75,ml,0.456152779104
28000,75,simple,1.35163276311
28000,100,dc,0.663986687098
28000,100,ml,0.505884535754
28000,100,simple,1.5907111508
28000,125,dc,0.774692052373
28000,125,ml,0.684849253645
28000,125,simple,1.76165556318
28000,150,dc,0.865220464489
28000,150,ml,0.75352557242
28000,150,simple,2.1088826353
28000,175,dc,0.937080063713
28000,175,ml,0.675135360044
28000,175,simple,2.14404879805
28000,200,dc,1.33880922048
28000,200,ml,0.979592870179
28000,200,simple,2.40848295693
28000,225,dc,1.28572480672
28000,225,ml,0.85538040356
28000,225,simple,2.62825838343
28000,250,dc,1.41387801282
28000,250,ml,0.949994354383
28000,250,simple,3.30460619716
28000,275,dc,1.69568602441
28000,275,ml,1.00802424212
28000,275,simple,3.58640644182
28000,300,dc,1.52223333507
28000,300,ml,1.21724483171
28000,300,simple,3.84836929793
30000,50,dc,0.43122437006
30000,50,ml,0.320866103179
30000,50,simple,1.47177856094
30000,75,dc,0.539554460724
30000,75,ml,0.373368510146
30000,75,simple,1.88908547835
30000,100,dc,0.62490297096
30000,100,ml,0.501619161819
30000,100,simple,1.78317514769
30000,125,dc,0.766394255546
30000,125,ml,0.689176190631
30000,125,simple,1.99217874328
30000,150,dc,0.883762253948
30000,150,ml,0.610731498693
30000,150,simple,2.12151862938
30000,175,dc,1.10500392979
30000,175,ml,0.813568570798
30000,175,simple,2.42412147015
30000,200,dc,1.0922415022
30000,200,ml,0.905141001198
30000,200,simple,2.52325371136
30000,225,dc,1.56865835597
30000,225,ml,1.01669538974
30000,225,simple,3.87562182131
30000,250,dc,1.4081547143
30000,250,ml,1.18197592957
30000,250,simple,2.93717610068
30000,275,dc,1.46863292865
30000,275,ml,1.17145971395
30000,275,simple,3.5079854334
30000,300,dc,1.49564142727
30000,300,ml,1.3629666394
30000,300,simple,3.11311974437
